student_id,first_name,last_name,student_program,student_email
,Dari,Whatsize,Grocery,dwhatsizeqc@ifeng.com
,Alanna,Bertram,Music,abertramqd@chicagotribune.com
,Sydney,Meconi,Jewelery,smeconiqe@sbwire.com
,Pammi,Gocke,Kids,pgockeqf@shutterfly.com
,Kerrie,Ramsell,Tools,kramsellqg@arizona.edu
,Ellyn,Brumwell,Toys,ebrumwellqh@seesaa.net
,Craggy,Evered,Books,ceveredqi@cbc.ca
,Davida,Summerscales,Electronics,dsummerscalesqj@altervista.org
,Andrej,Carwithim,Jewelery,acarwithimqk@aol.com
,Krystle,Heinke,Health,kheinkeql@jimdo.com
,Dukie,O'Lyhane,Tools,dolyhaneqm@hatena.ne.jp
,Merill,Rankin,Jewelery,mrankinqn@webmd.com
,Cross,Arno,Beauty,carnoqo@umich.edu
,Indira,Silverton,Grocery,isilvertonqp@imdb.com
,Krista,Slimming,Baby,kslimmingqq@aol.com
,Cazzie,Fisby,Clothing,cfisbyqr@wp.com
,Randa,Nesterov,Clothing,rnesterovqs@example.com
,Costanza,Bower,Grocery,cbowerqt@springer.com
,Sidnee,Josofovitz,Home,sjosofovitzqu@dailymotion.com
,Saxe,Chmarny,Sports,schmarnyqv@miitbeian.gov.cn
,Ammamaria,Shevell,Home,ashevellqw@seattletimes.com
,Alleen,Adie,Books,aadieqx@bluehost.com
,Elladine,Novak,Health,enovakqy@msn.com
,Ody,MacElroy,Electronics,omacelroyqz@samsung.com
,Seline,Mateo,Grocery,smateor0@shinystat.com
,Cicely,Brimmacombe,Sports,cbrimmacomber1@upenn.edu
,Lucia,Stanning,Sports,lstanningr2@t-online.de
,Gordon,Gascard,Grocery,ggascardr3@gizmodo.com
,Deeyn,Gartin,Outdoors,dgartinr4@intel.com
,Jackqueline,Cowthard,Health,jcowthardr5@taobao.com
,Julian,Pampling,Garden,jpamplingr6@tmall.com
,Gene,Buddle,Automotive,gbuddler7@usda.gov
,Truman,Schreurs,Baby,tschreursr8@mozilla.org
,Jonis,O'Tierney,Baby,jotierneyr9@webeden.co.uk
,Jed,Ickowics,Grocery,jickowicsra@webmd.com
,Meridith,Titcumb,Shoes,mtitcumbrb@1und1.de
,Gary,Mc Grath,Games,gmcgrathrc@patch.com
,Vicky,Balsdone,Shoes,vbalsdonerd@technorati.com
,Sascha,Javes,Clothing,sjavesre@state.tx.us
,Dionne,Hobbert,Clothing,dhobbertrf@ca.gov
,Nanette,Facchini,Automotive,nfacchinirg@youku.com
,Gordon,Elmhirst,Industrial,gelmhirstrh@eepurl.com
,Harlan,Gianetti,Kids,hgianettiri@buzzfeed.com
,Conway,Joron,Sports,cjoronrj@phpbb.com
,Dieter,Manchett,Beauty,dmanchettrk@prweb.com
,Lizzy,Doidge,Health,ldoidgerl@icq.com
,Karine,Spellman,Grocery,kspellmanrm@xrea.com
,Tallia,Sturzaker,Beauty,tsturzakerrn@mozilla.com
,Ettie,Woodrow,Automotive,ewoodrowro@gov.uk
,Yance,Crowder,Computers,ycrowderrp@tamu.edu
,Desmond,Ridpath,Kids,dridpathrq@bandcamp.com
,Imogen,Gillison,Tools,igillisonrr@ftc.gov
